,PCo1,PCo2,PCo3,Depth,DMS,CH4,CO2,InitS,EndS
H2D1O3-mcrA-070120,-0.429649169,-0.359413374,-0.052839443,0.5,0,0.261456374,0,40,40
H2D1S1-mcrA-070120,-0.122779155,0.066656514,-0.166518794,0.5,9.28,1.752596732,15,40,8
H2D1S2-mcrA-070120,-0.012706929,-0.024060405,-0.118587841,0.5,9.28,1.752596732,15,40,8
H2D1S3-mcrA-070120,0.013092374,0.130087059,-0.194657168,0.5,9.28,1.752596732,15,40,8
H2D2S1-mcrA-070120,0.231549397,-0.097142461,0.143860739,1.5,18.52,4.1365504,0,40,4
H2D2S2-mcrA-070120,0.17536407,-0.085199096,0.113234951,1.5,18.52,4.1365504,0,40,4
H2D2S3-mcrA-070120,0.238200105,-0.102203735,0.118200769,1.5,18.52,4.1365504,0,40,4
H2D3O1-mcrA-070120,-0.369245325,-0.276790626,-0.043896989,3.5,0,0.684263306,0,24,24
H2D3O2-mcrA-070120,-0.360380746,-0.302627654,-0.056172048,3.5,0,0.684263306,0,24,24
H2D3O3-mcrA-070120,-0.398866822,-0.339162926,-0.058365686,3.5,0,0.684263306,0,24,24
H2D3S1-mcrA-070120,-0.030925554,0.048282143,0.004251733,3.5,16.59473206,10.0249359,10,24,15
H2D3S2-mcrA-070120,0.000150313,0.034378575,-5.25E-05,3.5,16.59473206,10.0249359,10,24,15
H2D3S3-mcrA-070120,0.11668997,-0.020782779,0.036679609,3.5,16.59473206,10.0249359,10,24,15
H2D4O1-mcrA-070120,-0.433343907,-0.315094951,-0.030802335,10.5,0,1.516965647,0,8,8
H2D4O2-mcrA-070120,-0.31753804,-0.135638644,-0.010302196,10.5,0,1.516965647,0,8,8
H2D4O3-mcrA-070120,-0.23241592,-0.015018113,0.010182187,10.5,0,1.516965647,0,8,8
H2D4S1-mcrA-070120,0.411222671,-0.050687535,-0.247795038,10.5,20.28788356,13.34343266,14.94,8,15
H2D4S2-mcrA-070120,0.091635824,-0.008592396,0.020854388,10.5,20.28788356,13.34343266,14.94,8,15
H2D4S3-mcrA-070120,0.408001033,-0.071397616,-0.147910859,10.5,20.28788356,13.34343266,14.94,8,15
H2D5O1-mcrA-070120,-0.26081937,0.218940515,0.177730047,20.5,0,3.486995439,0,0.4,0.4
H2D5O2-mcrA-070120,-0.262365715,0.103270714,0.092147578,20.5,0,3.486995439,0,0.4,0.4
H2D5O3-mcrA-070120,-0.238560936,0.166393052,0.137082487,20.5,0,3.486995439,0,0.4,0.4
H2D5S1-mcrA-070120,-0.183398621,0.116403516,-0.231660296,20.5,18.10924134,13.29084724,5.84,0.4,17
H2D5S2-mcrA-070120,-0.097823901,0.205963582,-0.28387459,20.5,18.10924134,13.29084724,5.84,0.4,17
H2D5S3-mcrA-070120,-0.063476978,0.198171019,-0.260464684,20.5,18.10924134,13.29084724,5.84,0.4,17
H2D6O1-mcrA-070120,-0.221779557,0.10009425,0.03748655,41,0,5.967801925,0,0.4,0.4
H2D6O2-mcrA-070120,-0.39645936,-0.105986246,0.017570091,41,0,5.967801925,0,0.4,0.4
H2D6O3-mcrA-070120,-0.252212492,0.074887717,0.040808258,41,0,5.967801925,0,0.4,0.4
H2D6S1-mcrA-070120,0.15374697,0.167776487,-0.57694791,41,16.62622123,12.8764014,10.91,0.4,11
H2D6S2-mcrA-070120,0.119069468,0.151867118,-0.533497247,41,16.62622123,12.8764014,10.91,0.4,11
H2D6S3-mcrA-070120,0.138322945,0.15321161,-0.531147775,41,16.62622123,12.8764014,10.91,0.4,11
H2D7O1-mcrA-070120,-0.46204491,-0.215557542,0.04518747,62.5,0,6.654496673,0,0,0
H2D7O2-mcrA-070120,-0.401995563,-0.090743392,0.07271955,62.5,0,6.654496673,0,0,0
H2D7O3-mcrA-070120,-0.433190922,-0.148320138,0.055346119,62.5,0,6.654496673,0,0,0
H2D7S1-mcrA-070120,-0.441262355,-0.218355942,0.018234392,62.5,8.095957289,0.480049727,3.8,0,4
H2D7S2-mcrA-070120,-0.356121744,-0.091562385,0.049682238,62.5,8.095957289,0.480049727,3.8,0,4
H2D7S3-mcrA-070120,-0.464294595,-0.327034322,-0.042132595,62.5,8.095957289,0.480049727,3.8,0,4
H3D1O2-mcrA-070120,-0.394124456,-0.337959001,-0.05949633,0.5,0,0.261456374,0,40,40
H3D1S1-mcrA-070120,0.475309135,-0.174862647,0.074247075,0.5,39.10655689,44.91181275,8.0,40,9
H3D1S2-mcrA-070120,0.447533554,-0.201659134,0.223069696,0.5,39.10655689,44.91181275,8.0,40,9
H3D1S3-mcrA-070120,0.44037387,-0.199602307,0.22657218,0.5,39.10655689,44.91181275,8.0,40,9
H3D2S1-mcrA-070120,0.346409284,-0.156873927,0.18332183,1.5,48.46982293,62.85044771,2.8,40,4
H3D2S2-mcrA-070120,0.406622456,-0.189642376,0.2378019,1.5,48.46982293,62.85044771,2.8,40,4
H3D2S3-mcrA-070120,0.427038564,-0.200227046,0.239605286,1.5,48.46982293,62.85044771,2.8,40,4
H3D3S1-mcrA-070120,0.417955296,-0.190716631,0.226241031,3.5,25.19503123,12.94222899,0.1,24,15
H3D3S2-mcrA-070120,0.437762568,-0.200593826,0.159698008,3.5,25.19503123,12.94222899,0.1,24,15
H3D3S3-mcrA-070120,0.455693431,-0.143337158,0.01155584,3.5,25.19503123,12.94222899,0.1,24,15
H3D4O1-mcrA-070120,-0.419263871,-0.336216743,-0.049190632,10.5,0,1.516965647,0,8,8
H3D4O2-mcrA-070120,-0.419550456,-0.326229573,-0.045297887,10.5,0,1.516965647,0,8,8
H3D4O3-mcrA-070120,-0.434497455,-0.347764324,-0.047853149,10.5,0,1.516965647,0,8,8
H3D4S1-mcrA-070120,0.446409682,-0.174220945,0.116152963,10.5,12.46214803,14.54000506,14.2,8,11
H3D4S2-mcrA-070120,0.437010764,-0.109776989,-0.077116576,10.5,12.46214803,14.54000506,14.2,8,11
H3D4S3-mcrA-070120,0.43561034,-0.140503942,0.031178876,10.5,12.46214803,14.54000506,14.2,8,11
H3D5O1-mcrA-070120,-0.1838053,0.357413443,0.250762999,20.5,0,3.486995439,0,0.4,0.4
H3D5O2-mcrA-070120,-0.178497336,0.336454758,0.230908906,20.5,0,3.486995439,0,0.4,0.4
H3D5O3-mcrA-070120,-0.1832968,0.379825931,0.265229792,20.5,0,3.486995439,0,0.4,0.4
H3D5S1-mcrA-070120,0.385596057,0.017010074,-0.144391569,20.5,20.74116512,19.84410082,10,0.4,13
H3D5S2-mcrA-070120,0.361256919,-0.019605508,0.057805879,20.5,20.74116512,19.84410082,10,0.4,13
H3D5S3-mcrA-070120,0.401648722,-0.07323672,0.131776313,20.5,20.74116512,19.84410082,10,0.4,13
H3D6O1-mcrA-070120,-0.164016602,0.443415315,0.27126271,41,0,5.967801925,0,0.4,0.4
H3D6O2-mcrA-070120,-0.165589534,0.441915165,0.266093952,41,0,5.967801925,0,0.4,0.4
